number,tweet (actual tweet text will defer. Open txt file instead),polarity
15,b'Ontario to ban cellphones in classrooms next school year | CBC News https://t.co/8e809Ycjac',positive
16,"b""@CBCAlerts GREAT. Come on, Canada. Ban the  aircraft. Don't put your people at risk.""",positive
17,"b'On March 28, @NationCheong @UWGreaterTO and Agapi Gessesse of @cee_toronto will share ideas on how to include and support young people to become accountable leaders for the future. Register here for this @maytree_canada session: https://t.co/QaqXfchLBa'",positive
18,"b'@SladeMitchell New Job Match: Sales Associate-Part-time, Winners Southtrail at TJX Companies, Inc. (Calgary, AB Canada) https://t.co/0kGbMDs3fp'",positive
19,b'UPDATED: CBC Implicitly Smears Israeli Lone Soldiers From Canada As Akin to Canadian ISIS Recruits &amp; with Dual Loyalties - Honest Reporting Canada https://t.co/MMFkGIzWOD',positive
20,"b'@realDonaldTrump @foxandfriends From Greenpeace:\nPatrick Moore Did Not Found Greenpeace\nPatrick Moore frequently portrays himself as a founder or co-founder of Greenpeace, and many news outlets have repeated this characterization. Although Mr. Moore played a significant role in Greenpeace Canada for several...'",positive
21,"b'Honored to be recognized as a finalist for Mortgage Broker, Young Gun of the Year as top Mortgage Broker under 35 in Canada by the Canadian Mortgage Awards.  https://t.co/GfX0LhrmiK https://t.co/6G52LCzPsp'",positive
22,b'OK WHAT NEXT . HMMM . OH YEAH IT LOOKS NICE OUTSIDE HERE IN CANADA. . IN CANADA WE LIVE IN IGLOOS AND RIDE POLAR BEARS . SOMETIMES WE VISIT SANTA. HA HA JUST KIDDING . WE HAVE A LOT OF FORESTS AND MOUNTAINS. BUT WE ALSO HAVE LAKES AND A LOT AF AGRICULTURAL LAND FOR CROPS.',positive
23,b'@jmxyg CANADA \xe2\x80\x94 (160-250) biweekly pay for part time. Really depends on the amount of hours and shifts.',positive
24,b'Athenex $ATNX Stock Rating Reaffirmed by Royal Bank of Canada  https://t.co/oWfUzd4drD',positive
25,b'[May 2018 Presentation] FLAKE or MESH SIZE = LARGE #graphite #commodities #metals #mining #Canada #Quebec #electriccar #electricvehicles #oil #energy #PDAC2019 https://t.co/ubkoy5OuBJ https://t.co/lcJN8UHGuh',positive
26,b'@CNN Our cabal is falling apart Bennie!',negative
27,b'@mark_thelen @JxhnBinder We don\xe2\x80\x99t have that program. They can bring family. Canada has that system. \n\nPlus whatever children they have here are citizens.',positive
28,b'Illustrating Canada\xe2\x80\x99s History of Strikes: Book Review #canlab https://t.co/5L1in91U18',positive
29,"b""@LouisianaLtGov @LouisianaGov  - Todd Corporation is destroying Canada! We don't trust them in Australia, neither should you!  https://t.co/4jH0oWwLua\n\n#lagov #lalege #OnlyLouisiana #LouisianaLtGov""",positive
30,"b'This group \xe2\x80\x98Canada Proud\xe2\x80\x99 is the same 3rd party group who ran \xe2\x80\x98Ontario Proud.\xe2\x80\x99 They were very effective in stoking the \xe2\x80\x98alt-right\xe2\x80\x99 base, playing on ignorance of science etc, which gave us the corrupt #Ford circus in Ontario. They are run by ex-Harper staff.  #Cdnpoli https://t.co/PB5OoWuCFm'",positive
31,"b'Team Leader, Travel: Medavie Blue Cross (Moncton NB): ""Opportunity The insurance business isn\'t just about claims. it\'s about relationships too. No one wants to be in a situation where..."" AtlanticCanada #NB eluta https://t.co/5lEjeZku2N'",positive
32,"b""Teachers! Don't forget to finish your QDPE Award application before March 13. The online form will be closed and won't be accessible after tomorrow. Got questions? you can contact us at qdpeaward@phecanada.ca https://t.co/0w6yAtsLFv https://t.co/DaS1pRfRn2""",positive
33,"b'@lraitt Hey Lisa, what are the rules regarding lobbying of the OECD?  Do you know? Could you inadvertently be doing the bidding of a foreign Corporation. Anyway OECD stayed they trusted Canada on this file. Fight for Canadians please, not just for the CPC.'",positive
34,"b'Loader Operator: Lafarge Canada Inc. (Calgary AB): ""is looking for a Loder Operator to join our team. This position will report directly to the Plant Foreman and will work..."" ABTopEmployers eluta https://t.co/fVSkrklHTE'",positive
35,b'Canada \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xe2\x80\x99s Ambassador @SusanBincoletto official visit to the canton of Jura and HESO SO Delemont today.... https://t.co/U8AeQZ8gqR',positive
36,b'A dozen government air flight agencies worldwide have grounded the 737s pending investigation.\nNot so Canada. Is it because we\xe2\x80\x99re used to flying unsafe planes? #cdnpoli #secondhandjets #avroarrow https://t.co/uGj4KsGtSe',negative
37,b'20 DMA Support today: $ASR ... https://t.co/rE6u8Q9XTl',positive
38,b'@CSpamLads 1. Japan\n2. Mexico\n3. China\n4. Morocco\n5. France\n6. Canada\n7. Germany\n8. Norway\n9. Italy\n10. UK\n11. America',positive
39,b'@CSpamLads 1. Japan\n2. Mexico\n3. China\n4. Morocco\n5. France\n6. Canada\n7. Germany\n8. Norway\n9. Italy\n10. UK\n11. America',positive
40,b'10 days till #\xd9\x86\xd9\x88\xd8\xb1\xd9\x88\xd8\xb2 (spring equinox). This is no longer winter. This is harrasment! This is atmospheric persecution. \xd8\xae\xd8\xaf\xd8\xa7 \xd8\xa8\xd8\xb3\xd9\x87!\n#Canada #Winter #PleaseStop\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc https://t.co/J8EsU7LBo0',neutral
41,b'@TrishMSmith @31ripley @BDOCanada_Ag @BDO_Canada Congrats Trish!',neutral
42,"b""This is the second time this year. Last time, the package was shipped back to Canada because for some reason, @FedEx's idea of delivery doesn't involve calling me or ringing my buzzer if they can't figure out how to get into my building like every other carrier.""",positive
43,"b'Director, External Communications: OMERS (Toronto ON): ""in 1962, OMERS is one of Canada\'s largest defined benefit pension plans, with $97 billion in net assets as at December 31..."" #PR eluta https://t.co/tYlXgMmETQ'",positive
44,b'Outside Day today: $CM ... https://t.co/DWI5blShb5',positive
45,"b""Should Be law In Canada But They Are Pussy's https://t.co/PZWIkeFIGP""",negative
46,"b""@justrealmilk huh. are your updates region specific? I'm up in Canada, would that cause an issue?""",positive
47,b'Transport Canada Wikipedia article edited anonymously from Transport Canada https://t.co/Jp0U8LbmRZ https://t.co/xrEFl9C2k8',negative
48,b'@WeAreCanProud @JustinTrudeau @algore Let\xe2\x80\x99s no forget that Canada Proud is funded by developers to ppl like Ford/Scheer. Elected Their goal is to get the rich rixher. PMJT &amp; every other world leader fly privately because of security issues. Don\xe2\x80\x99t make up lies about PMJT travel schedule or position on Climate Change',positive
49,b'Rose Above Upper Bollinger Band today: $ABN $ZQQ $XQQ ... https://t.co/d1pH9nZP0B',positive
50,b'BBC News - US election 2020: Nine Democratic candidates. One event. Who shone? https://t.co/A1ovBuXHDI',positive
51,b'#NewPost Starbucks Canada: Cloud Macchiato Review https://t.co/owNHjb8Bst https://t.co/ULmpdZOGMf',positive
52,"b'@ZLabe This anomaly is due to ongoing climate engineering. Watch CND this summer as we experience a #VenusSyndrome from the chemical burn of our atmosphere &amp; protective ozone layer. \n\nCanada is the USA &amp; UK guinea pig, once again......FML! \n\n #WorstNeighboursEver'",positive
53,"b""@sanaomar2007 1/2 Hello again. The IRCC social media team can't comment on the processing of specific cases. How long it takes to hear back from the web form depends on how complex your case is. Please call our Client Support Centre if you are in Canada (https://t.co/Myd3ZDkfUZ).""",positive
54,b'Rose Above 50 DMA today: $GSP ... https://t.co/kXGs1AF4Ty',positive
55,b'@ABC In Uganda my dad was approached by this rich boys school. The recruiter told my dad I will turn out a leader. But entrance fee 100k Uganda shillings. ( 1966)\nmy dad told the guy to FO\nwent to public school and \n\nTAAAA DAAAA here I m In Canada business man.',positive
56,"b'@drsadw WestJet remains actively involved in discussions with Transport Canada, Boeing and fellow Canadian operators of the Boeing MAX 737 aircraft and reassures our guests and employees that we will continue to fly with their safety and best interests at the forefront.'",positive
57,b'@jyduclos Canada is again going to make a choice in October. You and the Liberal Party are not part of that choice. https://t.co/I2Mp4jiHIt',positive
58,b'You guys really suck @TD_Canada',negative
59,b'New 52 Week High today: $XUT ... https://t.co/m4zrvyx6DM',positive
60,b'Yesterday\xe2\x80\x99s @Canada announcement! \n\xe2\x80\x9cWe now have @NuggetTheMascot from the @RapidCityRush as a participant in the 1st Annual @okmascotgames \nFun and fundraising for 2 organizations that help families throughout the @kizzmittourism region! \n@BCCHF and @kghfoundation JoeAnnas House! https://t.co/zXuBSQbn7m',positive
61,"b'@BTSasean @BTS_twt Around 12 hours before pre-order begins for BTS Map of the Soul Persona. For ARMYs outside USA, Canada, and Puerto Rico, you may already choose one of the stores mentioned and create an account for that website. YesAsia works fine for me. #FindYourPersona #BTS'",positive
62,"b'After accidentally paying $10k on $100 bill, shop owner wants Yellow Pages to pay her back https://t.co/bTpwrfSJhL'",positive
63,b'#BlueWaterBridge as of 11AM wait times heading WB into the U.S. is greater than 30 min. for cars and commercial vehicles #MDOT\n\n#BlueWaterBridge as of 11AM wait times heading EB into Canada is less than 15 min. for cars and greater than 30 min. for commercial vehicles #MDOT',positive
64,"b""@MillenPolitics She is a corrupt POLITICIAN who has done many wicked things in her career!!! Don't be fooled by the rhetoric!!! UK &amp; Canada have some socialist programs...BUT ARE NOT TRUE SOCIALIST COUNTRIES in that THE STATE DOESN'T control everything! Capitalism still rules free societies!""",negative
65,b'@Priyal_krusher @ShivaniPatel23 @AmaalMallik @ArmaanMalik22 Yes i saw.... I was actually on her timeline. I found many other stations from Canada to US to UK. So u can duplicate from my timeline as well. \xf0\x9f\x98\x8a',positive
66,b'@Snipes_902 The new UFC rights deal in Canada is with TSN exclusively.',negative
67,b'Edmonton is also home to some of Canada\xe2\x80\x99s best LGBT+ artists and events! \nLet local Zachary Parsons-Lozinski guide you to the best events happening this month: https://t.co/2DuBIvfIua #ExploreEdmonton https://t.co/m9MUsK3njR',positive
68,"b'@OlusegunIfade @taiwo__y @nerdy_dami Definitely not certified by @cipmnigeria, it will be a disgrace to the HR profession. Neither by HR practitioners in Canada......'",negative
69,b'@mdpme123 @rcmpgrcpolice I think the RCMP has been compromised but there still are people there who are trying to do the right things for Canada not Globalization.',positive
70,b'canada fact: there is a maple leaf on the flag',positive
71,b'Parts of integrative and holistic medicine are good! Sleep! Vegetables! Meditation! Exercise!\n\nBut homeopathy is total quackery.\n\nThank you watchdogs at @ScienceBasedMed. https://t.co/OLzJ0KEyyi',positive
72,b'@SunderlandAFC Since Netflix show. A Sunderland supporter now from Canada!  Come on promotion!',positive
73,"b""@Stringfellow573 @CMHR_News I very much agree with this statement. DISCRIMINATION in Canada on the whole is very covert. Many human rights violations occur when we do not call it out for what it is. Don't be afraid to use the D-word when you witness abuse of power over human rights in our country.""",positive
74,"b'@realDonaldTrump @foxandfriends Patrick Albert Moore (born 1947) is a Canadian businessman, nuclear energy advocate, environmental consultant and former president of Greenpeace Canada must be experiencing dementia and is a complete traitor to Greenpeace, all its efforts and what they stand for. Shame.'",positive
75,"b'How I imported a JDM Nissan Silvia S13 from Canada, and how you can too: https://t.co/z18rej2gHC https://t.co/8T8vsTNv5D'",neutral
76,b'Radio Chatter! \xf0\x9f\x93\xbb #nerfdnet // New post: Canada\xe2\x80\x99s Amateur Radio Population Showing Continued Growth https://t.co/ibqXLqf7yr #hamr #hamradio #BravoCharlieRadio\n https://t.co/aQUrT1B2GN',positive
77,b'@good2be_ATaylor Its big. And cold a lot. And probably part of Canada.',negative
78,b'@DUBERSTEP 2/2 Currently we are working on selecting communities across Canada that fit within the eligibility criteria. More info: https://t.co/T1fDlBouPp',positive
79,b'@DUBERSTEP 2/2 Currently we are working on selecting communities across Canada that fit within the eligibility criteria. More info: https://t.co/T1fDlBouPp',positive
80,"b""'Extraordinary' Hamilton-area teacher killed in Ethiopian Airlines crash https://t.co/hgTyfAkaQc https://t.co/SFLTrbbV0b""",positive
81,"b'""I don\'t know how many times the door closed. I said, \'Please just help me\'..."" https://t.co/Emu97udo9b'",positive
82,"b'Perceptions of the opportunities that exist in the #trades are changing across #Canada. Read about a group of grade 8 students who spent the day visiting tech classrooms in Sarnia, learning about the diverse workforce that awaits them via @SarniaObserver: https://t.co/FK063gDSqN'",positive
83,b'Neo-Cannabis Royalty Deepak Anand joins me for an upcoming interview.\nHave any questions for him?  DM me or post them below\xf0\x9f\x98\x8e\n@_deepakanand @BarinderRasode @adammiron @strainprint @BuzzDankyear @bofc_canada @Hartsteinfeld @LakeCityRyan @Scottrades https://t.co/YTD4ULYV5j',negative
84,"b""The Edmonton Disruptive Men's Conference is THIS FRIDAY &amp; SATURDAY! Online and phone registration end on March 13. Register Now and Save! #WhoWillYouBring? https://t.co/uFPUe8blXP""",positive
85,"b'@MyHughJassol @JJmittens @ChatByCC @realDonaldTrump @foxandfriends Awww, did my bio frighten you?Born and raised in Texas and damn proud of it, and proud I didn\xe2\x80\x99t sneak into Canada like an illegal scumbag. I presume you\xe2\x80\x99re trying to say I\xe2\x80\x99m a bot? You\xe2\x80\x99re a sad, sad individual and that\xe2\x80\x99s what sad individuals say when they\xe2\x80\x99re proven stupid. https://t.co/RXxDRnj06R'",negative
86,"b'@hammyahol @TheSpec Haters gonna hate , very well respected leader on the world stage , also moved Canada to top 2 places in the world to live , I\xe2\x80\x99ll take it , suppose you like Drug Fraud to ? \xf0\x9f\x99\x84'",negative
87,"b""UCP government would cancel AHS 'superlab' in Edmonton | CBC News https://t.co/7X989uYh5L JASON KENNEY AND UCP AGAIN DEPLORABLY DISPLAY THEIR INEXCUSEABLE IGNORANCE OF ALBERTANS' SPECIFIC IMPORTANT HEALTH CARE NEEDS!""",positive
88,"b""Let's welcome @BreakNorthRadio o the @theheatdjs100 team. Show luv &amp; follow him. Salute! #Canada #HeatDJs100 \n@DJHENHOUSE @chasemanhattan @DJTOMMYBROWNE @therealrampage @iamdjwillmoney\xe2\x80\xa6 https://t.co/6qEGJrNbKU""",positive
89,"b""@MaryamNSharif Please convey my Salam and Dua'a for Mian Sahib from Burlington, Ontario, Canada.\nI love him just  for Allah and think he is the only real statesman.""",positive
90,"b'@guntruth_canada @ThatLibertyGuy @TheGunBlog @TWilsonOttawa You will notice windy was silent after Harper defunded her. With the libs in power she seems to have no end to funding.\n\nLike that bunny, put batteries (tax $$$) in and off she goes.'",positive
91,"b'Announcing $200,000 in federal funding through Health Canada for Avenue B Harm Reduction with in Saint John with Julie Dingwell and Mayor Don Darling! https://t.co/o6c5RcViZ6'",negative
92,b'@hilaryagro I wish I could bring you a trap! Canada y u so big \xf0\x9f\x98\x9e',positive
93,"b'Buy the tracks separately when the digital album drops! If u are from Canada Plz Canadian armys Wait Till we see if amazon Canada or Walmart Canada will have the physical copy to preorder, So we can reflect demand on our chart! No more than 5 albums per account #FindYourPERSONA'",positive
94,b'Woot woot Toronto Canada gets a spot!! https://t.co/5xgrKH65vl',positive
95,b'Wanting a good read while you wait for the March issue of the Digest? Dive into our archives! \xf0\x9f\x93\x9a John Murray from @CNAMAssn  discusses the importance of #collaborative #assetmanagement in our 2018 March issue. Read it here: https://t.co/dRgBeSB5Z8 https://t.co/KmJBubgTM7',positive
96,b'@bradheath @MarkSZaidEsq That\xe2\x80\x99s hilarious.',positive
97,b'Anybody flying a 737Max from Air Canada? Send a DM ... you\xe2\x80\x99ll get an interesting reply',positive
98,b'Commit to ending child exploitation: Industry Solutions for Child Exploitation Investigations https://t.co/elllTomWNr\n#childexploitation #icac #CSE #OnlineSafety #evidence #UK #USA #Canada',positive
99,"b""Feel free to use my KOHO referral code and we\xe2\x80\x99ll both get at least $20 with your first purchase! 0CSHVG2A\nUp to $60 in total. I've got a few uses left, so feel free to go for it! \nhttps://t.co/ZfSOPzD2Sh\n#canada #money #canadian #shareKOHO #getkoho #bank @getkoho""",positive
100,b'@SusanMunro13 You forgot Canada.\xf0\x9f\x98\xab\xf0\x9f\x98\xab\xf0\x9f\x98\xab',neutral
101,b'Honda to recall around 1M vehicles with dangerous air bags https://t.co/umW4JIRHWC https://t.co/mViuTuh1VZ',negative
102,"b'10 years later, Canada remembers those killed in Flight 491 crash https://t.co/yfHDCvh7jm'",negative
103,"b'As of Mar 12, 2019 TERRASCENT CORP ORDINARY SHARES CANADA $TRSSF Shorts Reduced By 71.77% https://t.co/1OrolzN5sQ'",negative
104,"b""We invite you to attend this year's Graphics Canada Expo with a COMPLIMENTARY admission pass to the exhibit floor! Just enter code RISO19GCE at the link below:... https://t.co/EkX1o8yOmm""",positive
105,"b'Right now, Canada is leading the world in #AI, thanks largely to huge government investments like the Pan-Canadian Artificial Intelligence Strategy. https://t.co/W6xvhoaj1q'",positive
106,"b""Bill Blair, announced over $11 million over two years in funding to support Ontario's Guns, Gangs and Violence Reduction Strategy (GGVRS). https://t.co/uphBEvy14K""",positive
107,"b'these drones are too complicated folks. i don\xe2\x80\x99t want albert einstein to have to report on the civilians he murdered remotely from a secret base 3,000 miles away. \nhttps://t.co/vdL9FzLWzr'",positive
108,"b'Together, we can #EndBullying. I\xe2\x80\x99ve taken the pledge to make a safer, friendlier online world. And you can help. For every person who joins me in this pledge, TELUS will give $1 to support #EndBullying programs across Canada. https://t.co/6Vg2sWI0SD'",positive
109,"b'The new satellite was funded by Canada, Denmark, the Netherlands, Luxembourg and New Zealand in a collaborative effort to gain access to the U.S. military\xe2\x80\x99s global communications network. Launch highlights: https://t.co/tRQswN023V'",positive
110,"b'If the new #CdnFOI request form is going to pressure you to search the Completed Access Request database first, the least govt could do is provide better search. How about phrase searching or the ability to filter by dept then search? https://t.co/8mEaXgC0uA'",positive
111,b'First Indigenous woman-owned airline in Canada launches out of YVR https://t.co/EKCp6hdRNS via @Vancouver Is Awesome',positive
112,b'(Billboard world album chart)\n\n1.@TXT_members (Dream chapter:STAR)\n2.@BTS_twt (Love yourself:Answer)\n3.@BTS_twt (LY:Tear)\n4.@BTS_twt (LY:Her)\n5. Celtic woman(Ancient land)\n6. Jus2 (Focus)\n7. Exo (Dont mess up my tempo)\n8. Monsta X (Take 2: We are here)\n9. @BTS_twt (Face yourself)',positive
113,"b'Meet the Inuk RCMP officer protecting Justin Trudeau. https://t.co/HppfwNDjF3. A lovely story but a troubling stat is buried at the bottom, ""The number of Inuit RCMP officers from Nunavut are now in the low single digits."" (!) #cdnpoli https://t.co/r6w4kflg4S'",positive
114,b'@CBCNews Canada needs to ground these planes now.',positive
115,b'@CBCNews Canada needs to ground these planes now.',positive
116,"b'Can you recommend anyone for this job in #Hamilton, ON? https://t.co/hvdQGWpr5v #Nursing'",positive
117,"b""@Toronto_Nomad @RachieSkarsten @JoeDinicol @Lauren_Collins @JEIGHMADJUS @johnnybregz @AaronRAshmore @Kristen_Hager @ricocolantoni @DaveSFoley @filmrisetv We're guessing by your Twitter handle that you live in Canada. If so, it's available on iTunes to rent! Also available on DVD.""",positive
118,b'It\xe2\x80\x99s a beautiful day in the Richard Bradshaw Amphitheatre to explore the music of Armenia with Nun\xc3\xa9 Melik and Michel-Alexandre Broekaert in the @CanadianOpera #FreeConcertSeries! \n\n@jm_canada \n#HiddenTreasures\xf0\x9f\x87\xa6\xf0\x9f\x87\xb2\n#Tr\xc3\xa9sorsCach\xc3\xa9s\xf0\x9f\x87\xa6\xf0\x9f\x87\xb2 https://t.co/YeBzNxofc3',positive
119,b'Loved the simple elegance of this constellation themed wedding bolermtnevents ! \xe2\xa0\x80\n.\xe2\xa0\x80\n.\xe2\xa0\x80\n.\xe2\xa0\x80\n.\xe2\xa0\x80\n. \xe2\xa0\x80\n#519shoplocal #ArthurKorbielPhotography #bride #bridebook #canada #groom #instabride\xe2\x80\xa6 https://t.co/qONPZojk5A',positive
120,b'North Vancouver - westbound Main St at Hwy-1/Trans Canada Hwy construction - CLEAR',neutral
121,"b'Speed Camera Ahead: Google Maps Adds Photo Radar Warnings for Drivers. ""Police in Calgary say the feature is useful to them."" https://t.co/ecx43eSPNa #localgovernment'",positive
122,b'@shayehui_ @MayaKin93917740 @owonedas @itsd_igital @nickezye_twt this person has the same iq as the dirty CRJ Double Bogey Air Canada',positive
123,"b""We're happy to now offer free shipping across Canada for our new print issue of #antilang. (No. 2-3, Fall 2018 / Winter 2019)! Treat yourself to this beautiful volume and we'll send it straight to your door.\nhttps://t.co/6ko0YBgY8A""",positive
124,b'@CastanetNews A facebook post said Air Canada charged someone $600 plus ticket costs to change the flight. Westjet is also charging hundreds. Absolutely unacceptable.',positive
125,b'Brothers freed after road trip that ended with \xe2\x80\x98stupid\xe2\x80\x99 stunt causing chaos at Canada-US\xc2\xa0border https://t.co/MqfeIjy117',negative
126,b'Ontario to ban cellphones from classrooms: CP...\n\nhttps://t.co/mide0EBabP',positive
127,"b'Installation and Repair Technician: Praxair Canada Inc. (Saskatoon SK): ""Things Are In Store? with Praxair Services Canada Inc. At Praxair, 26,000 employees in 50 countries are working together towards a common..."" #saskatchewan eluta https://t.co/fo5EzV44AE'",negative
128,"b""@HappyintheWest @lamphieryeg Well you still have Canada boy running things, so until that changes I'm afraid you're out of luck!""",positive
129,"b'The Health Hub 100th Show!!!!!\n - with guest: Alex Dias, Producer at Radio Maria Canada &amp; The Health Hub with radio host &amp; The Health Hub\xe2\x80\x99s founder, \n\nhttps://t.co/zJpTCizh2u https://t.co/fTzTPG0KWU'",positive
130,b'CANADA FIRST: IMMIGRATION LESSONS FROM ISRAEL W/ JILL COLTON https://t.co/13MXHlGKTw via @YouTube',negative
131,"b'Hey, no problem Canada. @RCMP are busy carrying luggage across the border for illegal migrants. @CSIS #cdnpoli https://t.co/IBBkgC5n4V'",negative
132,"b'In Canada, there are no taxes on prescription medications. Cannabis is the exception.  https://t.co/rx7vJzB63h'",positive
133,"b'#YTZ carries @RedCanoeBrands - known for championing the idyllic, rugged and hardworking Canadian lifestyle. We love supporting this Ontario-based company with made-in-Canada products! #the6ix #MadeinCanada https://t.co/y5oNwf1kvo'",positive
134,"b'@viaCristiano @maggieNYT @ewarren , they are ads not posts. Please don\xe2\x80\x99t be disingenuous, it\xe2\x80\x99s not a good look.'",positive
135,"b""New England &amp; Canada in the Fall 12 Day Trip from \xc2\xa32424\n\nThe glorious fall foliage of New England, iconic cities and Niagara Falls - the sights don't get much better than this.\n\nDEPARTURE FROM: SEP 2019 - SEP 2020\n\n*** LINK BELOW ***\n\nhttps://t.co/jP7kLk3LSm https://t.co/hxHcdTK9b9""",positive
136,"b'@economia502 @jyduclos @realDonaldTrump Ummmmmm, Trump reduced taxes for everyone. I think Canada can learn something from Trump.'",positive
137,b'It is fuckin incredible to me that the guy touted as Canada\xe2\x80\x99s biggest freedom loving party has his followers saying that \xe2\x80\x9ceveryone should be the same\xe2\x80\x9d.',positive
138,"b""\xf0\x9f\x92\xb0\xf0\x9f\x8d\x81 Hey #Canada you could #win $1,000 worth of #free #contactlenses. No purchase req'd just enter #today #giveaway  https://t.co/evWXmlvsIJ""",positive
139,"b""@Aujla12960929 1/2 Hi. The IRCC social media team can't comment on the processing of specific cases. Please fill out and send this form with your UCI number: https://t.co/J5v3aaq2vM Or call our Client Support Centre if you are in Canada (https://t.co/Myd3ZDkfUZ).""",positive
140,"b'Honda to recall 84,000 older vehicles in Canada over air bag hazard https://t.co/CdF7npfCdB'",positive
141,"b""@HonAhmedHussen I'm waiting for you to meet in Canada with South African farmers who's lives are being threatened (many already lost) by some of the supporters of the EFF. Why haven't you offered asylum to them as Vladimir Putin has done? Are these white farmer lives less important to you?""",positive
142,b'A morning laugh for @MaximeBernier and all of us that supports @peoplespca thanks to @TheBeaverton - but it also reveals a deep truth about #CronyCapitalism in Canada #PPC2019 https://t.co/VG62Ym93Wr',positive
143,b'Positive mind = Positive Life\xe2\x81\xa3\n\xe2\x81\xa3\n\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f Yes Please!! @ Canada https://t.co/PlUxNJImmj',positive
144,"b'Login Subs.....\nTonights CL will be on Bleacher, Dazn Germany, Canada, RMC Sports.....'",neutral
145,"b'phnom penh taxi driver , Cambodia trip  #viaje #viajero #turismo  #tripadvisor #tourism #Voyage #Cambodge #perjalanan #Reise #\xec\x97\xac\xed\x96\x89 #\xec\xba\x84\xeb\xb3\xb4\xeb\x94\x94\xec\x95\x84  #\xe6\x9f\xac\xe5\x9f\x94\xe5\xaf\xa8 #\xe6\x97\x85\xe8\xa1\x8c #travel #Taiwan #singapore #Malaysia #australia #spain #German  #french #Canada #England #asian #Travelers https://t.co/HpaNWCydMl'",positive
146,"b'Greg Sutton (Soccer player) \r\nBorn: Hamilton, Canada\r\nDate of birth: 1977-04-19\r\nEducation: Bethel High School\r\nhttps://t.co/ksitAFFqPM https://t.co/XAxwMG5was'",positive
147,"b""TerraVesco #Vermicompost got its start over 20 years ago in the #vineyards of Sonoma &amp; Napa. Now it's available in Canada. https://t.co/8IRhSBdum8 #sustainable #organic #horticulture #solutions https://t.co/YoZx0Ld9dK""",positive
148,"b""@alissa914 @BillSpadea @CoryBooker So, I'm sure it's legal to buy replacement Insulin if your's broke while in Canada.\nSo,,,,save your old expired vials.\ntake them to Canada, 10 or 20 of them, whatever.\nCrack them lightly, so they're 'spoiled'.\nYou're just buying replacements now! \nGotta be legal!""",negative
149,"b""UPDATE: Male pedestrian dead after being struck in McDonald's drive-thru https://t.co/avLJsXzTLH""",negative
150,b'@ishikusui Now can they please bring anime to Adult Swim Canada 24/7 edition',positive
151,b'#NowPlaying Beyond Creation  @BeyondCreation1 - Omnipresent Perception  #Canada #Radio #webplayer: https://t.co/QqbW4t8XkZ',positive
